votes,seatsR,seatsD
0,0,0
0.755841982589,0.0,0.0
1.75584198259,0.0,0.0
2.75584198259,0.0,0.0
3.75584198259,0.0,0.0
4.75584198259,0.0,0.0
5.75584198259,0.0,0.0
6.75584198259,0.0,0.0
7.75584198259,0.0,0.0
8.75584198259,0.0,0.0
9.75584198259,0.0,0.0
10.7558419826,0.0,0.0
11.7558419826,0.0,0.0
12.7558419826,0.0,0.0
13.7558419826,0.0,0.0
14.7558419826,0.0,0.0
15.7558419826,0.0,0.0
16.7558419826,0.0,0.0
17.7558419826,0.0,0.0
18.7558419826,0.0,0.0
19.7558419826,0.0,0.0
20.7558419826,0.0,0.0
21.7558419826,0.0,0.0
22.7558419826,0.0,0.0
23.7558419826,0.0,0.0
24.7558419826,0.0,0.0
25.7558419826,0.0,0.0
26.7558419826,0.0,0.0
27.7558419826,0.0,0.0
28.7558419826,0.0,0.0
29.7558419826,0.0,0.0
30.7558419826,0.0,0.0
31.7558419826,0.0,0.0
32.7558419826,0.0,0.0
33.7558419826,0.0,0.0
34.7558419826,0.0,0.0
35.7558419826,0.0,0.0
36.7558419826,0.0,0.0
37.7558419826,0.0,0.0
38.7558419826,0.0,0.0
39.7558419826,0.0,0.0
40.7558419826,0.0,0.0
41.7558419826,0.0,0.0
42.7558419826,0.0,0.0
43.7558419826,0.0,0.0
44.7558419826,0.0,0.0
45.7558419826,0.0,0.0
46.7558419826,0.0,0.0
48.7558419826,57.45,0.0
49.7558419826,76.35,8.35
50.7558419826,92.7,23.6
51.7558419826,100.0,40.65
52.7558419826,100.0,59.4
53.7558419826,100.0,100.0
54.7558419826,100.0,100.0
55.7558419826,100.0,100.0
56.7558419826,100.0,100.0
57.7558419826,100.0,100.0
58.7558419826,100.0,100.0
59.7558419826,100.0,100.0
60.7558419826,100.0,100.0
61.7558419826,100.0,100.0
62.7558419826,100.0,100.0
63.7558419826,100.0,100.0
64.7558419826,100.0,100.0
65.7558419826,100.0,100.0
66.7558419826,100.0,100.0
67.7558419826,100.0,100.0
68.7558419826,100.0,100.0
69.7558419826,100.0,100.0
70.7558419826,100.0,100.0
71.7558419826,100.0,100.0
72.7558419826,100.0,100.0
73.7558419826,100.0,100.0
74.7558419826,100.0,100.0
75.7558419826,100.0,100.0
76.7558419826,100.0,100.0
77.7558419826,100.0,100.0
78.7558419826,100.0,100.0
79.7558419826,100.0,100.0
80.7558419826,100.0,100.0
81.7558419826,100.0,100.0
82.7558419826,100.0,100.0
83.7558419826,100.0,100.0
84.7558419826,100.0,100.0
85.7558419826,100.0,100.0
86.7558419826,100.0,100.0
87.7558419826,100.0,100.0
88.7558419826,100.0,100.0
89.7558419826,100.0,100.0
90.7558419826,100.0,100.0
91.7558419826,100.0,100.0
92.7558419826,100.0,100.0
93.7558419826,100.0,100.0
94.7558419826,100.0,100.0
95.7558419826,100.0,100.0
96.7558419826,100.0,100.0
97.7558419826,100.0,100.0
98.7558419826,100.0,100.0
99.7558419826,100.0,100.0
100,100,100
