votesR,seatsR,votesD,seatsD
0,0,0,0
0.619531627309,0.0,0.380468372691,0.0
1.61953162731,0.0,1.38046837269,0.0
2.61953162731,0.0,2.38046837269,0.0
3.61953162731,0.0,3.38046837269,0.0
4.61953162731,0.0,4.38046837269,0.0
5.61953162731,0.0,5.38046837269,0.0
6.61953162731,0.0,6.38046837269,0.0
7.61953162731,0.0,7.38046837269,0.0
8.61953162731,0.0,8.38046837269,0.0
9.61953162731,0.0,9.38046837269,0.0
10.6195316273,0.0,10.3804683727,0.0
11.6195316273,0.0,11.3804683727,0.0
12.6195316273,0.0,12.3804683727,0.0
13.6195316273,0.0,13.3804683727,0.0
14.6195316273,0.0,14.3804683727,0.0
15.6195316273,0.0,15.3804683727,0.0
16.6195316273,0.0,16.3804683727,0.0
17.6195316273,0.0,17.3804683727,0.0
18.6195316273,0.0,18.3804683727,0.0
19.6195316273,0.0,19.3804683727,0.0
20.6195316273,0.0,20.3804683727,0.0
21.6195316273,0.0,21.3804683727,0.0
22.6195316273,0.0,22.3804683727,0.0
23.6195316273,0.0,23.3804683727,0.0
24.6195316273,0.0,24.3804683727,0.0
25.6195316273,0.0,25.3804683727,0.0
26.6195316273,0.0,26.3804683727,0.0
27.6195316273,0.0,27.3804683727,0.0
28.6195316273,0.0,28.3804683727,0.0
29.6195316273,0.0,29.3804683727,0.0
30.6195316273,0.0,30.3804683727,0.0
31.6195316273,0.0,31.3804683727,0.0
32.6195316273,0.0,33.3804683727,0.0
33.6195316273,0.0,34.3804683727,0.0
34.6195316273,0.0,35.3804683727,0.0
35.6195316273,0.0,36.3804683727,0.0
36.6195316273,0.0,37.3804683727,0.0
37.6195316273,3.6,38.3804683727,3.5
38.6195316273,6.9,39.3804683727,6.38
39.6195316273,10.28,40.3804683727,13.4
40.6195316273,13.22,41.3804683727,20.28
41.6195316273,16.52,42.3804683727,26.1
42.6195316273,20.0,43.3804683727,33.48
43.6195316273,20.0,44.3804683727,36.52
44.6195316273,20.0,45.3804683727,43.22
45.6195316273,23.46,46.3804683727,46.68
46.6195316273,26.5,47.3804683727,49.62
47.6195316273,30.28,48.3804683727,53.3
48.6195316273,33.38,49.3804683727,56.54
49.6195316273,37.04,50.3804683727,62.96
50.6195316273,43.46,51.3804683727,66.62
51.6195316273,46.7,52.3804683727,69.72
52.6195316273,50.38,53.3804683727,73.5
53.6195316273,53.32,54.3804683727,76.54
54.6195316273,56.78,55.3804683727,80.0
55.6195316273,63.48,56.3804683727,80.0
56.6195316273,66.52,57.3804683727,80.0
57.6195316273,73.9,58.3804683727,83.48
58.6195316273,79.72,59.3804683727,86.78
59.6195316273,86.6,60.3804683727,89.72
60.6195316273,93.62,61.3804683727,93.1
61.6195316273,96.5,62.3804683727,96.4
62.6195316273,100.0,63.3804683727,100.0
63.6195316273,100.0,64.3804683727,100.0
64.6195316273,100.0,65.3804683727,100.0
65.6195316273,100.0,66.3804683727,100.0
66.6195316273,100.0,67.3804683727,100.0
68.6195316273,100.0,68.3804683727,100.0
69.6195316273,100.0,69.3804683727,100.0
70.6195316273,100.0,70.3804683727,100.0
71.6195316273,100.0,71.3804683727,100.0
72.6195316273,100.0,72.3804683727,100.0
73.6195316273,100.0,73.3804683727,100.0
74.6195316273,100.0,74.3804683727,100.0
75.6195316273,100.0,75.3804683727,100.0
76.6195316273,100.0,76.3804683727,100.0
77.6195316273,100.0,77.3804683727,100.0
78.6195316273,100.0,78.3804683727,100.0
79.6195316273,100.0,79.3804683727,100.0
80.6195316273,100.0,80.3804683727,100.0
81.6195316273,100.0,81.3804683727,100.0
82.6195316273,100.0,82.3804683727,100.0
83.6195316273,100.0,83.3804683727,100.0
84.6195316273,100.0,84.3804683727,100.0
85.6195316273,100.0,85.3804683727,100.0
86.6195316273,100.0,86.3804683727,100.0
87.6195316273,100.0,87.3804683727,100.0
88.6195316273,100.0,88.3804683727,100.0
89.6195316273,100.0,89.3804683727,100.0
90.6195316273,100.0,90.3804683727,100.0
91.6195316273,100.0,91.3804683727,100.0
92.6195316273,100.0,92.3804683727,100.0
93.6195316273,100.0,93.3804683727,100.0
94.6195316273,100.0,94.3804683727,100.0
95.6195316273,100.0,95.3804683727,100.0
96.6195316273,100.0,96.3804683727,100.0
97.6195316273,100.0,97.3804683727,100.0
98.6195316273,100.0,98.3804683727,100.0
99.6195316273,100.0,99.3804683727,100.0
100,100,100,100
