votes,seatsR,seatsD
0,0,0
0.227362514081,0.0,0.0
1.22736251408,0.0,0.0
2.22736251408,0.0,0.0
3.22736251408,0.0,0.0
4.22736251408,0.0,0.0
5.22736251408,0.0,0.0
6.22736251408,0.0,0.0
7.22736251408,0.0,0.0
8.22736251408,0.0,0.0
9.22736251408,0.0,0.0
10.2273625141,0.0,0.0
11.2273625141,0.0,0.0
12.2273625141,0.0,0.0
13.2273625141,0.0,0.0
14.2273625141,0.0,0.0
15.2273625141,0.0,0.0
16.2273625141,0.0,0.0
17.2273625141,0.0,0.0
18.2273625141,0.0,0.0
19.2273625141,0.0,2.275
20.2273625141,0.0,4.7
21.2273625141,0.0,6.625
22.2273625141,0.0,9.425
23.2273625141,0.0,12.1
24.2273625141,0.0,14.075
25.2273625141,0.0,15.925
26.2273625141,0.0,17.95
27.2273625141,0.0,20.825
28.2273625141,0.0,22.7
29.2273625141,0.0,25.0
30.2273625141,0.0,25.0
31.2273625141,0.0,25.0
32.2273625141,6.675,25.0
33.2273625141,13.25,25.0
34.2273625141,20.45,25.0
35.2273625141,27.975,25.0
36.2273625141,33.575,25.0
37.2273625141,40.1,25.0
38.2273625141,47.6,25.0
39.2273625141,54.975,25.0
40.2273625141,62.475,25.0
41.2273625141,67.9,25.0
42.2273625141,75.0,25.0
43.2273625141,75.0,25.0
44.2273625141,75.0,25.0
45.2273625141,75.0,25.0
46.2273625141,75.0,25.0
47.2273625141,75.0,25.0
48.2273625141,75.0,25.0
49.2273625141,75.0,25.0
50.2273625141,75.0,25.0
51.2273625141,75.0,25.0
52.2273625141,75.0,25.0
53.2273625141,75.0,25.0
54.2273625141,75.0,25.0
55.2273625141,75.0,25.0
56.2273625141,75.0,25.0
57.2273625141,75.0,25.0
58.2273625141,75.0,31.425
59.2273625141,75.0,38.225
60.2273625141,75.0,45.45
61.2273625141,75.0,53.1
62.2273625141,75.0,59.55
63.2273625141,75.0,65.825
64.2273625141,75.0,73.05
65.2273625141,75.0,79.425
66.2273625141,75.0,86.225
67.2273625141,75.0,93.725
68.2273625141,75.0,100.0
69.2273625141,75.0,100.0
70.2273625141,77.3,100.0
71.2273625141,79.175,100.0
72.2273625141,82.05,100.0
73.2273625141,84.075,100.0
74.2273625141,85.925,100.0
75.2273625141,87.9,100.0
76.2273625141,90.575,100.0
77.2273625141,93.375,100.0
78.2273625141,95.3,100.0
79.2273625141,97.725,100.0
80.2273625141,100.0,100.0
81.2273625141,100.0,100.0
82.2273625141,100.0,100.0
83.2273625141,100.0,100.0
84.2273625141,100.0,100.0
85.2273625141,100.0,100.0
86.2273625141,100.0,100.0
88.2273625141,100.0,100.0
89.2273625141,100.0,100.0
90.2273625141,100.0,100.0
91.2273625141,100.0,100.0
92.2273625141,100.0,100.0
93.2273625141,100.0,100.0
94.2273625141,100.0,100.0
95.2273625141,100.0,100.0
96.2273625141,100.0,100.0
97.2273625141,100.0,100.0
98.2273625141,100.0,100.0
99.2273625141,100.0,100.0
100,100,100
