votes,seatsR,seatsD
0,0,0
0.421279388021,0.0,0.0
1.42127938802,0.0,0.0
2.42127938802,0.0,0.0
3.42127938802,0.0,0.0
4.42127938802,0.0,0.0
5.42127938802,0.0,0.0
6.42127938802,0.0,0.0
7.42127938802,0.0,0.0
8.42127938802,0.0,0.0
9.42127938802,0.0,0.0
10.421279388,0.0,0.0
11.421279388,0.0,0.0
12.421279388,0.0,0.0
13.421279388,0.0,0.0
14.421279388,0.0,0.0
15.421279388,0.0,0.0
16.421279388,0.0,0.0
17.421279388,0.0,0.0
18.421279388,0.0,0.0
19.421279388,0.0,0.0
20.421279388,0.0,0.0
21.421279388,0.0,0.0
22.421279388,0.0,0.0
23.421279388,0.0,0.0
24.421279388,0.0,0.0
25.421279388,0.0,0.0
26.421279388,0.0,0.0
27.421279388,0.0,0.0
28.421279388,0.0,0.0
29.421279388,0.0,0.0
30.421279388,0.0,0.0
31.421279388,0.0,0.0
32.421279388,0.0,0.0
33.421279388,0.0,0.0
34.421279388,0.0,0.0
35.421279388,0.0,0.0
36.421279388,0.0,0.0
37.421279388,0.0,0.0
38.421279388,0.0,0.0
39.421279388,0.0,0.0
40.421279388,0.0,0.0
41.421279388,0.0,0.0
42.421279388,0.0,0.0
43.421279388,0.0,0.0
44.421279388,0.0,0.0
45.421279388,0.0,17.3
46.421279388,0.0,32.3
47.421279388,0.0,48.4
48.421279388,0.0,66.6
49.421279388,14.5,85.5
50.421279388,33.4,100.0
51.421279388,51.6,100.0
52.421279388,67.7,100.0
53.421279388,82.7,100.0
54.421279388,100.0,100.0
55.421279388,100.0,100.0
56.421279388,100.0,100.0
57.421279388,100.0,100.0
58.421279388,100.0,100.0
59.421279388,100.0,100.0
60.421279388,100.0,100.0
61.421279388,100.0,100.0
62.421279388,100.0,100.0
63.421279388,100.0,100.0
64.421279388,100.0,100.0
65.421279388,100.0,100.0
66.421279388,100.0,100.0
68.421279388,100.0,100.0
69.421279388,100.0,100.0
70.421279388,100.0,100.0
71.421279388,100.0,100.0
72.421279388,100.0,100.0
73.421279388,100.0,100.0
74.421279388,100.0,100.0
75.421279388,100.0,100.0
76.421279388,100.0,100.0
77.421279388,100.0,100.0
78.421279388,100.0,100.0
79.421279388,100.0,100.0
80.421279388,100.0,100.0
81.421279388,100.0,100.0
82.421279388,100.0,100.0
83.421279388,100.0,100.0
84.421279388,100.0,100.0
85.421279388,100.0,100.0
86.421279388,100.0,100.0
87.421279388,100.0,100.0
88.421279388,100.0,100.0
89.421279388,100.0,100.0
90.421279388,100.0,100.0
91.421279388,100.0,100.0
92.421279388,100.0,100.0
93.421279388,100.0,100.0
94.421279388,100.0,100.0
95.421279388,100.0,100.0
96.421279388,100.0,100.0
97.421279388,100.0,100.0
98.421279388,100.0,100.0
99.421279388,100.0,100.0
100,100,100
