votesR,seatsR,votesD,seatsD
0,0,0,0
0.798793792759,0.0,0.201206207241,0.0
1.79879379276,0.0,1.20120620724,0.0
2.79879379276,0.0,2.20120620724,0.0
3.79879379276,0.0,3.20120620724,0.0
4.79879379276,0.0,4.20120620724,0.0
5.79879379276,0.0,5.20120620724,0.0
6.79879379276,0.0,6.20120620724,0.0
7.79879379276,0.0,7.20120620724,0.0
8.79879379276,0.0,8.20120620724,0.0
9.79879379276,0.0,9.20120620724,0.0
10.7987937928,0.0,10.2012062072,0.0
11.7987937928,0.0,11.2012062072,0.0
12.7987937928,0.0,12.2012062072,0.0
13.7987937928,0.0,13.2012062072,0.0
14.7987937928,0.0,14.2012062072,0.0
15.7987937928,0.0,15.2012062072,0.0
16.7987937928,0.0,16.2012062072,0.0
17.7987937928,0.0,17.2012062072,0.0
18.7987937928,0.0,18.2012062072,0.0
19.7987937928,0.0,19.2012062072,0.0
20.7987937928,0.0,20.2012062072,0.0
21.7987937928,0.0,21.2012062072,0.0
22.7987937928,0.0,22.2012062072,0.0
23.7987937928,0.0,23.2012062072,0.0
24.7987937928,0.0,24.2012062072,2.15
25.7987937928,0.0,25.2012062072,4.1
26.7987937928,0.0,26.2012062072,6.3125
27.7987937928,0.0,27.2012062072,8.275
28.7987937928,0.0,28.2012062072,12.35
29.7987937928,0.0,29.2012062072,16.625
30.7987937928,0.0,30.2012062072,18.6875
31.7987937928,0.0,31.2012062072,20.925
32.7987937928,1.9875,32.2012062072,22.85
33.7987937928,4.0625,33.2012062072,25.0
34.7987937928,6.075,34.2012062072,25.0
35.7987937928,8.2125,35.2012062072,25.0
36.7987937928,12.6,36.2012062072,25.0
37.7987937928,16.5375,37.2012062072,25.0
38.7987937928,20.875,38.2012062072,25.0
39.7987937928,25.275,39.2012062072,25.0
40.7987937928,29.025,40.2012062072,27.3
41.7987937928,35.625,41.2012062072,29.1
42.7987937928,39.9,42.2012062072,31.275
43.7987937928,46.2125,43.2012062072,33.3375
44.7987937928,50.225,44.2012062072,35.5
45.7987937928,54.175,45.2012062072,37.5
46.7987937928,58.4125,46.2012062072,37.5
47.7987937928,60.475,48.2012062072,37.5
48.7987937928,62.5,49.2012062072,37.5
49.7987937928,62.5,50.2012062072,37.5
50.7987937928,62.5,51.2012062072,37.5
51.7987937928,62.5,52.2012062072,39.525
53.7987937928,62.5,53.2012062072,41.5875
54.7987937928,62.5,54.2012062072,45.825
55.7987937928,64.5,55.2012062072,49.775
56.7987937928,66.6625,56.2012062072,53.7875
57.7987937928,68.725,57.2012062072,60.1
58.7987937928,70.9,58.2012062072,64.375
59.7987937928,72.7,59.2012062072,70.975
60.7987937928,75.0,60.2012062072,74.725
61.7987937928,75.0,61.2012062072,79.125
62.7987937928,75.0,62.2012062072,83.4625
63.7987937928,75.0,63.2012062072,87.4
64.7987937928,75.0,64.2012062072,91.7875
65.7987937928,75.0,65.2012062072,93.925
66.7987937928,75.0,66.2012062072,95.9375
67.7987937928,77.15,67.2012062072,98.0125
68.7987937928,79.075,68.2012062072,100.0
69.7987937928,81.3125,69.2012062072,100.0
70.7987937928,83.375,70.2012062072,100.0
71.7987937928,87.65,71.2012062072,100.0
72.7987937928,91.725,72.2012062072,100.0
73.7987937928,93.6875,73.2012062072,100.0
74.7987937928,95.9,74.2012062072,100.0
75.7987937928,97.85,75.2012062072,100.0
76.7987937928,100.0,76.2012062072,100.0
77.7987937928,100.0,77.2012062072,100.0
78.7987937928,100.0,78.2012062072,100.0
79.7987937928,100.0,79.2012062072,100.0
80.7987937928,100.0,80.2012062072,100.0
81.7987937928,100.0,81.2012062072,100.0
82.7987937928,100.0,82.2012062072,100.0
83.7987937928,100.0,83.2012062072,100.0
84.7987937928,100.0,84.2012062072,100.0
85.7987937928,100.0,85.2012062072,100.0
86.7987937928,100.0,86.2012062072,100.0
87.7987937928,100.0,87.2012062072,100.0
88.7987937928,100.0,88.2012062072,100.0
89.7987937928,100.0,89.2012062072,100.0
90.7987937928,100.0,90.2012062072,100.0
91.7987937928,100.0,91.2012062072,100.0
92.7987937928,100.0,92.2012062072,100.0
93.7987937928,100.0,93.2012062072,100.0
94.7987937928,100.0,94.2012062072,100.0
95.7987937928,100.0,95.2012062072,100.0
96.7987937928,100.0,96.2012062072,100.0
97.7987937928,100.0,97.2012062072,100.0
98.7987937928,100.0,98.2012062072,100.0
99.7987937928,100.0,99.2012062072,100.0
100,100,100,100
