votes,seatsR,seatsD
0,0,0
0.93851141268,0.0,0.0
1.93851141268,0.0,0.0
2.93851141268,0.0,0.0
3.93851141268,0.0,0.0
4.93851141268,0.0,0.0
5.93851141268,0.0,0.0
6.93851141268,0.0,0.0
7.93851141268,0.0,0.0
8.93851141268,0.0,0.0
9.93851141268,0.0,0.0
10.9385114127,0.0,0.0
11.9385114127,0.0,0.0
12.9385114127,0.0,0.0
13.9385114127,0.0,0.0
14.9385114127,0.0,0.0
15.9385114127,0.0,0.0
16.9385114127,0.0,0.0
17.9385114127,0.0,0.0
18.9385114127,0.0,0.0
19.9385114127,0.0,0.0
20.9385114127,0.0,0.0
21.9385114127,0.0,0.0
22.9385114127,0.0,0.0
23.9385114127,0.0,0.0
24.9385114127,0.0,0.0
25.9385114127,0.0,0.0
26.9385114127,0.0,0.0
27.9385114127,0.0,0.0
28.9385114127,0.0,0.0
29.9385114127,0.0,0.0
30.9385114127,0.0,0.0
31.9385114127,0.0,0.0
32.9385114127,0.0,0.0
33.9385114127,0.0,0.0
34.9385114127,0.0,0.0
35.9385114127,0.0,0.0
36.9385114127,0.0,0.0
37.9385114127,0.0,0.0
38.9385114127,0.0,0.0
39.9385114127,0.0,0.0
40.9385114127,0.0,0.0
41.9385114127,0.0,0.0
42.9385114127,0.0,0.0
43.9385114127,0.0,0.0
44.9385114127,0.0,0.0
45.9385114127,0.0,17.6
46.9385114127,0.0,31.8
47.9385114127,0.0,50.2
48.9385114127,0.0,67.9
49.9385114127,16.1,83.9
50.9385114127,32.1,100.0
51.9385114127,49.8,100.0
52.9385114127,68.2,100.0
53.9385114127,82.4,100.0
54.9385114127,100.0,100.0
55.9385114127,100.0,100.0
56.9385114127,100.0,100.0
57.9385114127,100.0,100.0
58.9385114127,100.0,100.0
59.9385114127,100.0,100.0
60.9385114127,100.0,100.0
61.9385114127,100.0,100.0
62.9385114127,100.0,100.0
63.9385114127,100.0,100.0
64.9385114127,100.0,100.0
65.9385114127,100.0,100.0
66.9385114127,100.0,100.0
67.9385114127,100.0,100.0
68.9385114127,100.0,100.0
69.9385114127,100.0,100.0
70.9385114127,100.0,100.0
71.9385114127,100.0,100.0
72.9385114127,100.0,100.0
73.9385114127,100.0,100.0
75.9385114127,100.0,100.0
76.9385114127,100.0,100.0
77.9385114127,100.0,100.0
78.9385114127,100.0,100.0
79.9385114127,100.0,100.0
80.9385114127,100.0,100.0
81.9385114127,100.0,100.0
82.9385114127,100.0,100.0
83.9385114127,100.0,100.0
84.9385114127,100.0,100.0
85.9385114127,100.0,100.0
86.9385114127,100.0,100.0
87.9385114127,100.0,100.0
88.9385114127,100.0,100.0
89.9385114127,100.0,100.0
90.9385114127,100.0,100.0
91.9385114127,100.0,100.0
92.9385114127,100.0,100.0
93.9385114127,100.0,100.0
94.9385114127,100.0,100.0
95.9385114127,100.0,100.0
96.9385114127,100.0,100.0
97.9385114127,100.0,100.0
98.9385114127,100.0,100.0
99.9385114127,100.0,100.0
100,100,100
