votesR,seatsR,votesD,seatsD
0,0,0,0
0.746497016945,0.0,0.253502983055,0.0
1.74649701694,0.0,1.25350298305,0.0
2.74649701694,0.0,2.25350298306,0.0
3.74649701694,0.0,3.25350298306,0.0
4.74649701694,0.0,4.25350298306,0.0
5.74649701694,0.0,5.25350298306,0.0
6.74649701694,0.0,6.25350298306,0.0
7.74649701694,0.0,7.25350298306,0.0
8.74649701694,0.0,8.25350298306,0.0
9.74649701694,0.0,9.25350298306,0.0
10.7464970169,0.0,10.2535029831,0.0
11.7464970169,0.0,11.2535029831,0.0
12.7464970169,0.0,12.2535029831,0.0
13.7464970169,0.0,13.2535029831,0.0
14.7464970169,0.0,14.2535029831,0.0
15.7464970169,0.0,15.2535029831,0.0
16.7464970169,0.0,16.2535029831,0.0
17.7464970169,0.0,17.2535029831,0.0
18.7464970169,0.0,18.2535029831,0.0
19.7464970169,0.0,19.2535029831,0.0
20.7464970169,0.0,20.2535029831,0.0
21.7464970169,0.0,21.2535029831,0.0
22.7464970169,0.0,22.2535029831,0.0
23.7464970169,0.0,23.2535029831,0.0
24.7464970169,0.0,24.2535029831,0.0
25.7464970169,0.0,25.2535029831,0.0
26.7464970169,0.0,26.2535029831,0.0
27.7464970169,0.0,27.2535029831,0.0
28.7464970169,0.0,28.2535029831,1.37272727273
29.7464970169,0.0,29.2535029831,2.9
30.7464970169,0.0,30.2535029831,4.52727272727
31.7464970169,0.0,31.2535029831,6.06363636364
32.7464970169,0.0,32.2535029831,7.74545454545
33.7464970169,0.0,33.2535029831,9.09090909091
34.7464970169,0.0,34.2535029831,9.09090909091
35.7464970169,0.0,35.2535029831,9.09090909091
36.7464970169,0.0,36.2535029831,10.4363636364
37.7464970169,0.0,37.2535029831,12.0090909091
38.7464970169,0.0,38.2535029831,13.4272727273
39.7464970169,3.07272727273,39.2535029831,15.1545454545
40.7464970169,5.98181818182,40.2535029831,16.8272727273
41.7464970169,10.5818181818,41.2535029831,18.1818181818
42.7464970169,16.8545454545,42.2535029831,19.9272727273
43.7464970169,23.0818181818,43.2535029831,21.2363636364
44.7464970169,29.0363636364,44.2535029831,22.9181818182
45.7464970169,35.9636363636,46.2535029831,33.2363636364
46.7464970169,43.5272727273,47.2535029831,34.9
47.7464970169,49.5727272727,48.2535029831,36.3636363636
48.7464970169,54.8909090909,49.2535029831,36.3636363636
49.7464970169,58.8363636364,50.2535029831,41.1636363636
50.7464970169,63.6363636364,51.2535029831,45.1090909091
51.7464970169,63.6363636364,52.2535029831,50.4272727273
52.7464970169,65.1,53.2535029831,56.4727272727
53.7464970169,66.7636363636,54.2535029831,64.0363636364
55.7464970169,77.0818181818,55.2535029831,70.9636363636
56.7464970169,78.7636363636,56.2535029831,76.9181818182
57.7464970169,80.0727272727,57.2535029831,83.1454545455
58.7464970169,81.8181818182,58.2535029831,89.4181818182
59.7464970169,83.1727272727,59.2535029831,94.0181818182
60.7464970169,84.8454545455,60.2535029831,96.9272727273
61.7464970169,86.5727272727,61.2535029831,100.0
62.7464970169,87.9909090909,62.2535029831,100.0
63.7464970169,89.5636363636,63.2535029831,100.0
64.7464970169,90.9090909091,64.2535029831,100.0
65.7464970169,90.9090909091,65.2535029831,100.0
66.7464970169,90.9090909091,66.2535029831,100.0
67.7464970169,92.2545454545,67.2535029831,100.0
68.7464970169,93.9363636364,68.2535029831,100.0
69.7464970169,95.4727272727,69.2535029831,100.0
70.7464970169,97.1,70.2535029831,100.0
71.7464970169,98.6272727273,71.2535029831,100.0
72.7464970169,100.0,72.2535029831,100.0
73.7464970169,100.0,73.2535029831,100.0
74.7464970169,100.0,74.2535029831,100.0
75.7464970169,100.0,75.2535029831,100.0
76.7464970169,100.0,76.2535029831,100.0
77.7464970169,100.0,77.2535029831,100.0
78.7464970169,100.0,78.2535029831,100.0
79.7464970169,100.0,79.2535029831,100.0
80.7464970169,100.0,80.2535029831,100.0
81.7464970169,100.0,81.2535029831,100.0
82.7464970169,100.0,82.2535029831,100.0
83.7464970169,100.0,83.2535029831,100.0
84.7464970169,100.0,84.2535029831,100.0
85.7464970169,100.0,85.2535029831,100.0
86.7464970169,100.0,86.2535029831,100.0
87.7464970169,100.0,87.2535029831,100.0
88.7464970169,100.0,88.2535029831,100.0
89.7464970169,100.0,89.2535029831,100.0
90.7464970169,100.0,90.2535029831,100.0
91.7464970169,100.0,91.2535029831,100.0
92.7464970169,100.0,92.2535029831,100.0
93.7464970169,100.0,93.2535029831,100.0
94.7464970169,100.0,94.2535029831,100.0
95.7464970169,100.0,95.2535029831,100.0
96.7464970169,100.0,96.2535029831,100.0
97.7464970169,100.0,97.2535029831,100.0
98.7464970169,100.0,98.2535029831,100.0
99.7464970169,100.0,99.2535029831,100.0
100,100,100,100
