votes,seatsR,seatsD
0,0,0
0.603271264177,0.0,0.0
1.60327126418,0.0,0.0
2.60327126418,0.0,0.0
3.60327126418,0.0,0.0
4.60327126418,0.0,0.0
5.60327126418,0.0,0.0
6.60327126418,0.0,0.0
7.60327126418,0.0,0.0
8.60327126418,0.0,0.0
9.60327126418,0.0,0.0
10.6032712642,0.0,0.0
11.6032712642,0.0,0.0
12.6032712642,0.0,0.0
13.6032712642,0.0,0.0
14.6032712642,0.0,0.0
15.6032712642,0.0,0.0
16.6032712642,0.0,0.0
17.6032712642,0.0,0.0
18.6032712642,0.0,0.0
19.6032712642,0.0,0.0
20.6032712642,0.0,0.0
21.6032712642,0.0,0.0
22.6032712642,0.0,0.0
23.6032712642,0.0,0.0
24.6032712642,0.0,0.0
25.6032712642,0.0,0.0
26.6032712642,0.0,0.0
27.6032712642,0.0,0.0
28.6032712642,0.0,0.0
29.6032712642,0.0,0.0
30.6032712642,0.0,0.0
31.6032712642,0.0,0.0
32.6032712642,0.0,0.0
33.6032712642,0.0,0.0
34.6032712642,0.0,0.0
35.6032712642,0.0,0.0
36.6032712642,0.0,0.0
37.6032712642,0.0,0.0
38.6032712642,4.2,4.9
39.6032712642,9.85,9.7
41.6032712642,9.35,13.1
42.6032712642,12.8,18.4
43.6032712642,17.35,24.55
44.6032712642,22.35,27.6
45.6032712642,27.35,31.5
46.6032712642,32.85,36.5
47.6032712642,36.4,40.75
48.6032712642,41.4,46.05
49.6032712642,45.85,50.0
50.6032712642,50.0,50.0
51.6032712642,50.0,54.15
52.6032712642,53.95,58.6
53.6032712642,59.25,63.6
54.6032712642,63.5,67.15
55.6032712642,68.5,72.65
56.6032712642,72.4,77.65
57.6032712642,75.45,82.65
58.6032712642,81.6,87.2
59.6032712642,86.9,90.65
60.6032712642,90.3,90.15
61.6032712642,95.1,95.8
62.6032712642,100.0,100.0
63.6032712642,100.0,100.0
64.6032712642,100.0,100.0
65.6032712642,100.0,100.0
66.6032712642,100.0,100.0
67.6032712642,100.0,100.0
68.6032712642,100.0,100.0
69.6032712642,100.0,100.0
70.6032712642,100.0,100.0
71.6032712642,100.0,100.0
72.6032712642,100.0,100.0
73.6032712642,100.0,100.0
74.6032712642,100.0,100.0
75.6032712642,100.0,100.0
76.6032712642,100.0,100.0
77.6032712642,100.0,100.0
78.6032712642,100.0,100.0
79.6032712642,100.0,100.0
80.6032712642,100.0,100.0
81.6032712642,100.0,100.0
82.6032712642,100.0,100.0
83.6032712642,100.0,100.0
84.6032712642,100.0,100.0
85.6032712642,100.0,100.0
86.6032712642,100.0,100.0
87.6032712642,100.0,100.0
88.6032712642,100.0,100.0
89.6032712642,100.0,100.0
90.6032712642,100.0,100.0
91.6032712642,100.0,100.0
92.6032712642,100.0,100.0
93.6032712642,100.0,100.0
94.6032712642,100.0,100.0
95.6032712642,100.0,100.0
96.6032712642,100.0,100.0
97.6032712642,100.0,100.0
98.6032712642,100.0,100.0
99.6032712642,100.0,100.0
100,100,100
